Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions,Install base,User-perceived ANR rate,User-perceived crash rate,Excessive battery usage (watch face)
Metro_Eye,Metro_Eye_M50_L10,Metro_Eye,M50_L10,8173MB,Tablet,Spreadtrum T616,ARM Mali G57 (750 MHz),1200x2000,320,arm64-v8a;armeabi;armeabi-v7a,36,3.2,0,0.00%,0.00%,0.00%
HYUNDAI,SW6H,Hyundai,HYUNDAI SMART TV,1850MB,TV,Mediatek t32,ARM Mali G52 (550 MHz),1080x1920,160,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
DEXP,Q310,DEXP,Q310,4018MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),1200x1920,280,arm64-v8a;armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
Sony,XQ-DQ72,Sony,Xperia 1 V,11743MB,Phone,QTI SM8550,Qualcomm Adreno 740 (818 MHz),1096x2560,420,arm64-v8a;armeabi;armeabi-v7a,35,3.2,0,0.00%,0.00%,0.00%
Celero5G,Jupiter,Dish,Celero 5G,3896MB,Phone,Mediatek MT6853V/NZA,3x ARM Mali G57 (748 MHz),720x1600,300,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
Mightier,MT003-21,Mightier,MT003-21,2039MB,Tablet,Mediatek MT8168B,ARM Mali G52 (800 MHz),800x1280,213,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
Aspera,Buzz,Aspera,Buzz,1985MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),480x854,200,armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
TECNO-Mobile,TECNO-Mobile-KG8,Tecno,SPARK 8 Pro,3929MB,Phone,Mediatek MT6769V/CZ,ARM Mali G52 (950 MHz),1080x2460,480,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
Acer,ACTAB1021_A,Acer,ACTAB1021_A,3075MB,Tablet,Mediatek MT8168B,ARM Mali G52 (800 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
Teclast,M50Plus,Teclast,M50Plus_EEA,5998MB,Tablet,Mediatek MT8786V/CT,2x ARM Mali G52 (950 MHz),1200x1920,260,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
realme,RED8C1L1,realme,realme 9i,3790-5879MB,Phone,QTI SM6225,Qualcomm Adreno 610 (1115 MHz),1080x2412,480,arm64-v8a;armeabi;armeabi-v7a,30;31;33,3.2,0,0.00%,0.00%,0.00%
LaVieTab,TE508BAW,NEC,LaVieTab PC-TE508BAW,965MB,Tablet,Mediatek MT8161,,800x1280,213,arm64-v8a;armeabi;armeabi-v7a,21,3.0,0,0.00%,0.00%,0.00%
google,jerry_cheets,Google,Rockchip RK3288 Chromebook,2112MB,Chromebook,Rockchip RK3288,ARM Mali T760 (600 MHz),768x1366,160,armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
Iris,shinagawa,Iris,Iris 2K TV,951MB,TV,MStar T16,ARM Mali 470 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,2.0,0,0.00%,0.00%,0.00%
samsung,SCG28,Samsung,Galaxy Z Fold6,11654MB,Tablet,QTI SM8650,Qualcomm Adreno 750 (903 MHz),1856x2160,420,arm64-v8a,36,3.2,0,0.00%,0.00%,0.00%
ROSSO,stanford,Rosso,Rosso,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
MIRAY,TM4G_1006,MIRAY,TM4G_1006,3927MB,Tablet,Spreadtrum T606,ARM Mali G57 (650 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
Ulefone,Note_12,Ulefone,Note 12,3990MB,Phone,Spreadtrum T310,Imagination Tech PowerVR GE8300 (800 MHz),720x1640,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
Nokia,APO_sprout,Nokia,Nokia G60 5G,5743MB,Phone,QTI SM6375,Qualcomm Adreno 619 (840 MHz),1080x2408,400,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
TCL,Mickey6TFUMTS,TCT (Alcatel),tbd,2011MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),720x1280,320,armeabi;armeabi-v7a,25,3.0,0,0.00%,0.00%,0.00%
