Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions,Install base,User-perceived ANR rate,User-perceived crash rate,Excessive battery usage (watch face)
google,tangorpro,Google,Pixel Tablet,7798-7802MB,Tablet,Google Tensor G2,ARM Mali G710 (848 MHz),1600x2560,320,arm64-v8a,36;37,3.2,4,0.00%,0.00%,0.00%
google,shiba,Google,Pixel 8,7684-7968MB,Phone,Google Tensor G3,7x ARM Mali G715 (848 MHz),1080x2400,420,arm64-v8a,34;36;37,3.2,2,0.00%,0.00%,0.00%
Lenovo,TB125FU,Lenovo,Lenovo Tab M10 Plus 3rd Gen,2985-4042MB,Tablet,Mediatek MT8768T,Imagination Tech PowerVR GE8320 (680 MHz),1200x2000,240,arm64-v8a;armeabi;armeabi-v7a,33,3.2,2,0.00%,0.00%,0.00%
google,panther,Google,Pixel 7,7826-7831MB,Phone,Google Tensor G2,ARM Mali G710 (848 MHz),1080x2400,420,arm64-v8a,36;37,3.2,2,0.00%,0.00%,0.00%
google,bluejay,Google,Pixel 6a,5849-5860MB,Phone,Google Tensor,ARM Mali G78 (848 MHz),1080x2400,420,arm64-v8a;armeabi;armeabi-v7a,36;37,3.2,1,0.00%,0.00%,0.00%
google,tegu,Google,Pixel 9a,7682-7938MB,Phone,Google Tensor G4,7x ARM Mali G715 (940 MHz),1080x2424,420,arm64-v8a,35;36;37,3.2,1,0.00%,0.00%,0.00%
IPRO,BEQUE7S,Ipro,BEQUE7S,2025MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),600x1024,160,armeabi;armeabi-v7a,30,3.2,1,0.00%,0.00%,0.00%
samsung,dm1q,Samsung,Galaxy S23,7399-7425MB,Phone,QTI SM8550,Qualcomm Adreno 740 (818 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,33;34;35;36,3.2,1,0.00%,0.00%,0.00%
google,komodo,Google,Pixel 9 Pro XL,15827-16340MB,Phone,Google Tensor G4,7x ARM Mali G715 (940 MHz),1344x2992,480,arm64-v8a,36;37,3.2,1,0.00%,0.00%,0.00%
lge,judyln,LGE,LG G7 ThinQ,3826-3832MB,Phone,Qualcomm SDM845,Qualcomm Adreno 630 (650 MHz),1440x3120,560,arm64-v8a;armeabi;armeabi-v7a,28;29,3.2,1,0.00%,0.00%,0.00%
samsung,gtowifi,Samsung,Galaxy Tab A Kids Edition,1936-1937MB,Tablet,Qualcomm SDM429,Qualcomm Adreno 504 (320 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,28;29;30,3.2,1,0.00%,0.00%,0.00%
EDENWOOD,kenton,EDENWOOD,EDENWOOD 4K Android TV,1610MB,TV,Realtek RTD2851A,2x ARM Mali G31 (700 MHz),1080x1920,320,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
ECOPAD,K90,ECOPAD,K90,8091MB,Tablet,Spreadtrum T615,ARM Mali G57 (850 MHz),1200x1920,280,arm64-v8a;armeabi;armeabi-v7a,36,3.2,0,0.00%,0.00%,0.00%
Hyundai,HT10LC1MBKLTM,Hyundai,HT10LC1MBKLTM,4053MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),800x1280,200,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
OPPO,PBFM00,Oppo,A7,3742MB,Phone,Qualcomm SDM450,Qualcomm Adreno 506 (600 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2,0,0.00%,0.00%,0.00%
samsung,j2xlte,Samsung,Galaxy J2(2016),1426MB,Phone,Spreadtrum SC9830I,ARM Mali 400 (614 MHz),720x1280,320,armeabi;armeabi-v7a,23,2.0,0,0.00%,0.00%,0.00%
NAVITEL,T787-4G,Navitel,T787-4G,3051MB,Tablet,Mediatek MT8765A,Imagination Tech PowerVR GE8100 (570 MHz),600x1024,160,armeabi;armeabi-v7a,31,3.2,0,0.00%,0.00%,0.00%
samsung,fresh8us,Samsung,Galaxy Watch8,1836MB,Wearable,Samsung S5E5535,2x ARM Mali G68 (702 MHz),438x438,340,armeabi;armeabi-v7a,36,3.2,0,0.00%,0.00%,0.00%
realme,RE58C2,realme,realme C53,3944-8168MB,Phone,Spreadtrum T612,ARM Mali G57 (650 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,33;34;35,3.2,0,0.00%,0.00%,0.00%
Blackview,XPLORE_X1,Blackview,XPLORE X1,12188MB,Phone,Mediatek MT8791,4x ARM Mali G68 (900 MHz),1080x2460,480,arm64-v8a;armeabi;armeabi-v7a,35,3.2,0,0.00%,0.00%,0.00%
OpelMobile,OMS60R24B,OpelMobile,Opel Smart60R,1988MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),480x960,200,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
DigiKing,dangni,DigiKing,Smart TV,975MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),1080x1920,213,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
DEXP,A355,DEXP,A355,963MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x960,213,armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
Sony,F3211,Sony,Xperia XA Ultra,2992MB,Phone,Mediatek MT6755,ARM Mali T860 (700 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,24,3.2,0,0.00%,0.00%,0.00%
alt,L1,ALT(IN),L1,3952MB,Phone,Mediatek MT6769V/CB,ARM Mali G52 (950 MHz),720x1640,320,arm64-v8a;armeabi;armeabi-v7a,35,3.2,0,0.00%,0.00%,0.00%
Blackview,Active_5,Blackview,Active 5,8139MB,Tablet,Spreadtrum T615,ARM Mali G57 (850 MHz),800x1340,213,arm64-v8a;armeabi;armeabi-v7a,35,3.2,0,0.00%,0.00%,0.00%
Fusion5,Fusion5_F104Bv2,Fusion5,Fusion5_F104Bv2,1012MB,Tablet,Mediatek MT8167B,Imagination Tech PowerVR GE8300 (500 MHz),800x1280,160,armeabi;armeabi-v7a,27,3.2,0,0.00%,0.00%,0.00%
Huawei,hws7961w,Huawei,MediaPad 7 Lite Quad,936MB,Tablet,Rockchip RK3188,ARM Mali 400 (533 MHz),600x976,160,armeabi;armeabi-v7a,16,2.0,0,0.00%,0.00%,0.00%
LIFEPHONE,LIFEPHONE_IDOL,LIFEPHONE,IDOL,3944MB,Phone,Spreadtrum T606,ARM Mali G57 (650 MHz),720x1600,480,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
AQUA,haeundae,Aqua,AQUA MatrixTV GE,975MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
VASOUN,L10_T08,VASOUN,L10_T08,8140MB,Tablet,Spreadtrum T616,ARM Mali G57 (750 MHz),1200x2000,320,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
QUEST,RAPTOR,QUEST,RAPTOR,2027MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x960,213,armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
STYLO,X7,Stylo,X7,2025MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),720x1640,320,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
WALTON,NEXG_N73,Walton,NEXG N73,3937MB,Phone,Spreadtrum T606,ARM Mali G57 (650 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
OPPO,OP61B7L1,Oppo,Reno15,16228MB,Phone,Mediatek MT6899,7x ARM Immortalis G720 (1300 MHz),1216x2640,560,arm64-v8a,36,3.2,0,0.00%,0.00%,0.00%
Elo,15in-I-Series-4,ELO Touch,15in-I-Series-4,3849MB,Tablet,Qualcomm SDA660,Qualcomm Adreno 512 (850 MHz),1080x1920,240,arm64-v8a;armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
WIKO,V3921,Wiko,ROBBY2,2009MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),720x1280,320,armeabi;armeabi-v7a,25,3.0,0,0.00%,0.00%,0.00%
CUBOT,CUBOT_POWER,Cubot,CUBOT_POWER,6098MB,Phone,Mediatek MT6737T,ARM Mali T720 (600 MHz),1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2,0,0.00%,0.00%,0.00%
DORA,redwood,DORA,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
SPC,GRAVITY2-4G,SPC Mobile,GRAVITY2-4G,2904MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),800x1280,160,arm64-v8a;armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
ATT,U380AA,AT&T,AT&T Calypso® 4,2972MB,Phone,Mediatek MT6761V/WB,Imagination Tech PowerVR GE8300 (660 MHz),720x1560,300,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
Redmi,ingres,Redmi,Redmi K50G,11739MB,Phone,QTI SM8450,Qualcomm Adreno 730 (818 MHz),1080x2400,440,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
DOCOMO,SH-01K,Sharp,AQUOS sense SH-01K,3010MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
TELOX,TE620G,TELOX,TE620G,3977MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),640x1136,320,arm64-v8a;armeabi;armeabi-v7a,31,3.2,0,0.00%,0.00%,0.00%
SIMI,S630,SimiMobile,S630,4019MB,Phone,Mediatek MT6763,2x ARM Mali G71 (700 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
LAVA,LXX518,Lava,Agni 3,7741MB,Phone,Mediatek MT6878,4x ARM Mali G615 (1047 MHz),1200x2652,520,arm64-v8a,36,3.2,0,0.00%,0.00%,0.00%
ALLDOCUBE,T806,Alldocube,T806,2029MB,Tablet,Mediatek MT8321,,800x1280,160,armeabi;armeabi-v7a,28,2.0,0,0.00%,0.00%,0.00%
Vocal,V0Core,Vocal,V0Core,1984MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),480x854,200,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
HONOR,HNANY-Q1,Honor,HONOR X9,8098MB,Phone,QTI SM6225,Qualcomm Adreno 610 (1115 MHz),1080x2388,480,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
Itel,itel-A52S-Lite,Itel,itel A52S Lite,460MB,Phone,Mediatek MT6580M,,480x960,240,armeabi;armeabi-v7a,27,2.0,0,0.00%,0.00%,0.00%
Athesi_professional,AP5706,Athesi,Athesi AP5706,3986MB,Phone,Mediatek MT6762V/WD,Imagination Tech PowerVR GE8320 (650 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
LASER,MID-1087,Laser,MID-1087,999MB,Tablet,Mediatek MT8321,,600x1024,160,armeabi;armeabi-v7a,27,2.0,0,0.00%,0.00%,0.00%
VIZIO,XR6M10,Vizio,XR6M10,1474MB,Phone,Qualcomm APQ8016,Qualcomm Adreno 306 (400 MHz),720x1280,240,armeabi;armeabi-v7a,23,3.0,0,0.00%,0.00%,0.00%
ALHAFIDH,R2,Alhafidh,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0,0,0.00%,0.00%,0.00%
Handheld-Wireless,C6,Handheld-Wireless,C6,3990MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1440,280,arm64-v8a;armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
Cellution,COSMAS_X,Cellution,COSMAS_X,937MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),480x854,240,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
EVERCOSS,U6B,Evercoss,U6B,1890MB,Phone,Spreadtrum SC9853I,ARM Mali T820 (750 MHz),540x1132,240,arm64-v8a;armeabi;armeabi-v7a,27,3.2,0,0.00%,0.00%,0.00%
HighScreen,Expanse,HighScreen,Expanse,3008MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,26,3.1,0,0.00%,0.00%,0.00%
Teclast,P30S_W_ROW,Teclast,P30S_W_ROW,6186MB,Tablet,Mediatek MT8183,ARM Mali G72 (800 MHz),800x1280,180,arm64-v8a;armeabi;armeabi-v7a,31,3.2,0,0.00%,0.00%,0.00%
PHILCO,TP10A464,Philco,TP10A464,3949MB,Tablet,Allwinner A523,ARM Mali G57 (650 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
TIANYU,S40,TIANYU,S40E,1925MB,Phone,Mediatek MT8766A,Imagination Tech PowerVR GE8300 (660 MHz),720x1440,320,armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
Acer,Acer_A61LX,Acer, Acer_A61LX ,4050MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1560,320,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
Xiaomi,omega,Xiaomi,Redmi Pro,2851MB,Phone,Mediatek MT6797M,ARM Mali T880 (780 MHz),1080x2248,480,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
acer,acer_t06,Acer,Liquid Zest,1006MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,23,2.0,0,0.00%,0.00%,0.00%
BPL,redwood,BPL,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
WIKO,W-V850,Wiko,View5 Plus,3991MB,Phone,Mediatek MT6765,Imagination Tech PowerVR GE8320 (680 MHz),720x1600,280,arm64-v8a;armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
docomo,SO-02H,Sony,Xperia Z5 Compact,1900MB,Phone,Qualcomm MSM8994,Qualcomm Adreno 430 (650 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,24,3.2,0,0.00%,0.00%,0.00%
asus,ASUS_I002D,Asus,ZenFone 7 / 7 Pro (ZS670KS/ZS671KS),8039MB,Phone,Qualcomm SM8250,Qualcomm Adreno 650 (587 MHz),1080x2400,420,arm64-v8a;armeabi;armeabi-v7a,31,3.2,0,0.00%,0.00%,0.00%
nissan,aivi2_b,Nissan,NissanConnect,8014MB,Android Automotive,Qualcomm SA8155P,Qualcomm Adreno 640 (700 MHz),720x1920,160,arm64-v8a,32,3.2,0,0.00%,0.00%,0.00%
samsung,SC-54C,Samsung,Galaxy Z Flip4,7621MB,Phone,QTI SM8475,Qualcomm Adreno 730 (900 MHz),1080x2640,480,arm64-v8a;armeabi;armeabi-v7a,36,3.2,0,0.00%,0.00%,0.00%
Legamaster,EVX,Legamaster,EVOLVE3,8228MB,Tablet,Rockchip RK3576,3x ARM Mali G52 (950 MHz),2160x3840,480,arm64-v8a,34,3.2,0,0.00%,0.00%,0.00%
Itel,itel-W4002P,Itel,itel W4002P,963MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x800,240,armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
Multilaser,MLX8_4G,Multilaser,MLX8 4G,1993MB,Tablet,Mediatek MT8765B,Imagination Tech PowerVR GE8100 (420 MHz),800x1280,160,armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
CredenceID,CredenceECO,CredenceID,CredenceECO,3991MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
vivo,PD1963,Vivo,V1963A,7834MB,Phone,Qualcomm SM7250,Qualcomm Adreno 620 (625 MHz),1080x2400,480,arm64-v8a;armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
DMOAO,D3_V_EEA,DMOAO,D3_V_EEA,3970MB,Tablet,Spreadtrum T310,Imagination Tech PowerVR GE8300 (800 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,35,3.2,0,0.00%,0.00%,0.00%
DOOGEE,S40Pro,Doogee, S40Pro,4019MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
BLU,J0082WW,Blu, J9L,1996MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),480x960,240,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
RCA,RATR31024,RCA,RATR31024,2053MB,Tablet,Rockchip RK3566,ARM Mali G52 (800 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
Huawei,hws7701u,Huawei,S7,937MB,Tablet,Rockchip RK3168,Imagination Tech PowerVR SGX540 (600 MHz),600x976,160,armeabi;armeabi-v7a,16,2.0,0,0.00%,0.00%,0.00%
google,geralt_cheets,Google,Mediatek MT8188G Detachable,3221-7319MB,Chromebook,Mediatek MT8188AV/A,3x ARM Mali G57 (950 MHz),1200x1920,213,arm64-v8a,33,3.1,0,0.00%,0.00%,0.00%
SIRAGON,mountbaker,Siragon,Siragon,1610MB,TV,Realtek RTD2841A,2x ARM Mali G31 (600 MHz),720x1280,213,armeabi;armeabi-v7a,30;34,3.2,0,0.00%,0.00%,0.00%
samsung,a14,Samsung,Galaxy A14,3862-5965MB,Phone,Samsung Exynos 850,ARM Mali G52 (1001 MHz),1080x2408,450,arm64-v8a;armeabi;armeabi-v7a,33;34;35,3.2,0,0.00%,0.00%,0.00%
Blackview,Tab8_WiFi_ROW,Blackview,Tab 8 WiFi,4071MB,Tablet,Rockchip RK3566,ARM Mali G52 (800 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,32,3.2,0,0.00%,0.00%,0.00%
Lenovo,TB3-850M,Lenovo,Lenovo TAB3 8,2019MB,Tablet,Mediatek MT8161,,800x1280,213,arm64-v8a;armeabi;armeabi-v7a,23,3.0,0,0.00%,0.00%,0.00%
Bmobile,Bmobile_AX1078_TG05,BMobile,AX1078,934MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),480x854,240,armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
KIVI,stanford,Kivi,KIVI,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
google,crosshatch,Google,Pixel 3 XL,3753MB,Phone,Qualcomm SDM845,Qualcomm Adreno 630 (650 MHz),1440x2960,560,arm64-v8a;armeabi;armeabi-v7a,31,3.2,0,0.00%,0.00%,0.00%
Lenovo,TB301FU,Lenovo,Lenovo Tab M8 (4th Gen) 2024,3022MB,Phone,Mediatek MT8768A,Imagination Tech PowerVR GE8320 (650 MHz),800x1280,240,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
realme,RMX3161CN,realme,realme Q3 5G,7751MB,Phone,Qualcomm SM7225,Qualcomm Adreno 619 (800 MHz),1080x2400,480,arm64-v8a;armeabi;armeabi-v7a,31,3.2,0,0.00%,0.00%,0.00%
SIGMA_MOBILE,TabA1020,Sigma Mobile,Tab A1020,2934MB,Phone,Spreadtrum T310,Imagination Tech PowerVR GE8300 (800 MHz),800x1280,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
OPPO,OP486C,Oppo,A1k,1892MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1560,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
ARATEK,Marshall-5A,ARATEK,Marshall-5S,3985MB,Phone,Mediatek MT8768,Imagination Tech PowerVR GE8320 (680 MHz),720x1280,213,arm64-v8a,35,3.2,0,0.00%,0.00%,0.00%
Nokia,QKS,Nokia,Nokia X20,7855MB,Phone,Qualcomm SM4350,Qualcomm Adreno 619 (650 MHz),1080x2400,400,arm64-v8a;armeabi;armeabi-v7a,31,3.2,0,0.00%,0.00%,0.00%
Cat,S42G,Cat,Cat S42,2996MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1440,280,armeabi;armeabi-v7a,31,3.2,0,0.00%,0.00%,0.00%
MarkaTab,Speadtrum,MarkaTab,Speadtrum,3926MB,Tablet,Spreadtrum T606,ARM Mali G57 (650 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,35,3.2,0,0.00%,0.00%,0.00%
lge,omega,LGE,LG Gx,1961MB,Phone,Qualcomm APQ8064,Qualcomm Adreno 320 (400 MHz),1080x1920,480,armeabi;armeabi-v7a,23,3.0,0,0.00%,0.00%,0.00%
ZUUM,AURA_X,Zuum,AURA X,3990MB,Phone,Mediatek MT6763,2x ARM Mali G71 (700 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
Sony,G2299,Sony,Xperia R1 Plus,3019MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,26,3.2,0,0.00%,0.00%,0.00%
samsung,core33g,Samsung,Galaxy Core Prime,998MB,Phone,Spreadtrum SC7730S,ARM Mali 400 (512 MHz),480x800,240,armeabi;armeabi-v7a,19,2.0,0,0.00%,0.00%,0.00%
motorola,eqe,Motorola,motorola edge 50 pro,7663-11846MB,Phone,QTI SM7550,Qualcomm Adreno 7series (676 MHz),1080x2400,450,arm64-v8a;armeabi;armeabi-v7a,35;36,3.2,0,0.00%,0.00%,0.00%
GOL,F10,Gol Mobile,F10,987MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),480x960,213,armeabi;armeabi-v7a,29,2.0,0,0.00%,0.00%,0.00%
asus,ASUS_X017D_2,Asus,ZenFone 5 Lite (ZC600KL),3926MB,Phone,Qualcomm SDM630,Qualcomm Adreno 508 (650 MHz),1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
Verizon,jfltevzw,Samsung,Galaxy S4,1895MB,Phone,Qualcomm APQ8064,Qualcomm Adreno 320 (400 MHz),1080x1920,480,armeabi;armeabi-v7a,21,3.0,0,0.00%,0.00%,0.00%
Ulefone,GQ8000BF3,Ulefone,Armor Pad 5 Pro,12033MB,Tablet,Mediatek MT6878,4x ARM Mali G615 (1047 MHz),1200x1920,260,arm64-v8a;armeabi;armeabi-v7a,35,3.2,0,0.00%,0.00%,0.00%
vivo,PD2024,Vivo,V2025A,12201MB,Phone,Qualcomm SM8250,Qualcomm Adreno 650 (587 MHz),1080x2376,480,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
YEZZ,4E,Yezz,4E,990MB,Phone,Mediatek MT6580M,,480x800,240,armeabi;armeabi-v7a,27,2.0,0,0.00%,0.00%,0.00%
Multilaser,Multilaser_E_Pro,Multilaser,Multilaser E Pro,931MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),480x854,200,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
Infinix,Infinix-X625C,Infinix,Infinix HOT 7 pro,4042MB,Phone,Mediatek MT6757CD,ARM Mali T880 (1000 MHz),720x1500,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2,0,0.00%,0.00%,0.00%
KANJI,KJ_OB02,Kanji,KJ_OB02,1029MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,27,2.0,0,0.00%,0.00%,0.00%
HYUNDAI,stanford,Hyundai,Hyundai,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
Polytron,hayward,Polytron,2K,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
OASE,EL-P1,OASE,EL-P1,2039MB,Tablet,Mediatek MT8321,,800x1280,213,armeabi;armeabi-v7a,29,2.0,0,0.00%,0.00%,0.00%
Lenovo,TB-X103F,Lenovo,Lenovo TAB 10,2008MB,Tablet,Qualcomm APQ8009,Qualcomm Adreno 304 (400 MHz),800x1280,160,armeabi;armeabi-v7a,23,3.0,0,0.00%,0.00%,0.00%
OSN,HY45N,OSN tv,NGB22-OSN,2010MB,TV,Amlogic AMLS905C2,2x ARM Mali G31 (850 MHz),1080x1920,320,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
iGET,SMART_L42,iGet,SMART_L42,8139MB,Tablet,Spreadtrum T615,ARM Mali G57 (850 MHz),1200x1920,280,arm64-v8a;armeabi;armeabi-v7a,35,3.2,0,0.00%,0.00%,0.00%
iHunt,iHunt_Fit_Runner,iHunt,iHunt Fit Runner,6050MB,Phone,Mediatek MT6765,Imagination Tech PowerVR GE8320 (680 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,31,3.2,0,0.00%,0.00%,0.00%
motorola,nora,Motorola,moto e5,1926MB,Phone,Qualcomm MSM8920,Qualcomm Adreno 308 (650 MHz),720x1440,320,armeabi;armeabi-v7a,27,3.0,0,0.00%,0.00%,0.00%
JMGO,lonavla,JMGO,N1S Infinity,1866MB,TV,Mediatek t31,ARM Mali G52 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
ESSENTIELB,R2,EssentielB,Android TV,2147MB,TV,Realtek RTD2851,3x ARM Mali 470 (600 MHz),1080x1920,320,armeabi;armeabi-v7a,28,2.0,0,0.00%,0.00%,0.00%
Teclast,P50_EEA,Teclast,P50_EEA,6030MB,Tablet,Spreadtrum T606,ARM Mali G57 (650 MHz),800x1280,180,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
samsung,a01q,Samsung,Galaxy A01,1925-1933MB,Phone,Qualcomm SDM439,Qualcomm Adreno 505 (560 MHz),720x1520,320,armeabi;armeabi-v7a,29;30;31,3.2,0,0.00%,0.00%,0.00%
BPL,alimos,BPL,Smart TV,1880MB,TV,Mediatek MT9676,2x ARM Mali G52 (552 MHz),2160x3840,320,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
TECHLIFE,redwood,TECHLIFE,Smart TV,956MB,TV,Mediatek t56,ARM Mali G31 (550 MHz),720x1280,213,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
SUGAR,x600as,Sugar,SUGAR S20s,2962MB,Phone,Qualcomm SDM450,Qualcomm Adreno 506 (600 MHz),1080x2246,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2,0,0.00%,0.00%,0.00%
